1,Smek,Wska,1992-12-12,42741395532,Ul. Oowska 41,934060550
2,Dmek,Cski,1951-06-02,53392101120,Ul. Uowa 26,723930639
3,Umka,Gski,1960-04-28,71941409361,Ul. Gowa 22,914522401
4,Vmek,Yski,1971-01-14,51222601565,Ul. Powa 84,819879928
5,Smka,Eska,1966-11-22,42180911444,Ul. Bowa 55,428265872
6,Amka,Fski,1982-07-25,52645126710,Ul. Wowska 41,420073924
7,Hmka,Qska,1998-02-19,42651472204,Ul. Nowska 10,285347326
8,Bmek,Fska,1974-05-21,63215777898,Ul. Towa 69,242044094
9,Xmka,Dska,1987-12-21,61827401106,Ul. Yowska 65,110422930
10,Omka,Lska,1977-05-11,41050560728,Ul. Aowska 56,397478606
11,Cmek,Eska,1990-05-09,74019664309,Ul. Wowska 10,818711504
12,Hmka,Yski,1954-09-12,73379138943,Ul. Qowa 90,228434002
13,Tmka,Eska,1964-10-24,42992605964,Ul. Sowska 41,169226898
14,Cmek,Uski,1964-01-22,83606829072,Ul. Wowska 76,434806320
15,Smka,Gska,1976-02-04,41623493588,Ul. Qowa 66,359091005
16,Wmka,Vska,1965-03-19,84253441784,Ul. Jowa 26,420208336
17,Jmka,Jska,1999-01-27,72073361656,Ul. Jowa 2,162323316
18,Mmek,Uska,1963-05-10,53843704845,Ul. Fowa 60,845818176
19,Kmka,Pski,1948-08-08,72509391917,Ul. Howska 72,690234326
20,Kmek,Dska,1957-10-26,83463836248,Ul. Towa 8,777006384
21,Rmek,Tska,1960-02-10,73658759201,Ul. Powa 15,325270530
22,Qmek,Jska,1962-07-13,73482408773,Ul. Jowa 12,536089260
23,Bmka,Xski,1988-11-15,52254763780,Ul. Jowska 72,266809768
24,Qmek,Qski,1965-03-18,63551514130,Ul. Towa 18,339662151
25,Umka,Uski,1950-12-10,54145062770,Ul. Eowa 99,485589704
26,Smka,Cska,1983-06-13,42606370464,Ul. Cowska 87,919008890
27,Wmek,Kska,1965-11-03,61352644928,Ul. Lowa 59,935878640
28,Ymka,Qski,1983-01-10,72142272606,Ul. Yowska 87,541397900
29,Lmek,Hska,1989-03-22,51567922080,Ul. Sowska 24,645788346
30,Smka,Vska,1983-06-05,72937158247,Ul. Jowa 93,763021702
31,Rmka,Bski,1999-05-23,81934353568,Ul. Lowska 75,394715498
32,Dmka,Lski,1966-12-10,41776330868,Ul. Fowska 94,486418928
33,Lmka,Oski,1971-03-06,82154564968,Ul. Bowska 7,612875486
34,Emek,Xska,1973-12-05,81281343400,Ul. Iowa 86,255431604
35,Pmka,Aski,1988-12-23,81215340464,Ul. Uowa 17,373986823
36,Lmka,Iska,1986-12-26,73356659334,Ul. Yowska 74,771227899
37,Bmka,Sski,1984-12-27,53939885385,Ul. Dowa 17,542950460
38,Gmka,Nski,1952-07-26,82637020384,Ul. Qowska 72,364852500
39,Xmek,Gska,1974-04-28,81327519848,Ul. Fowska 26,255047002
40,Smka,Kski,1945-01-03,72870184373,Ul. Howska 6,472947932
41,Bmek,Fski,1997-11-15,53320841545,Ul. Jowa 72,263437738
42,Nmka,Rska,1954-07-10,83810515416,Ul. Bowa 7,351715405
43,Tmka,Gska,1959-10-13,42762874568,Ul. Mowska 94,147924750
44,Imek,Qska,1957-04-20,61219244858,Ul. Powska 19,925389467
45,Lmek,Kski,1955-07-16,81609463936,Ul. Oowa 42,893339768
46,Gmek,Uski,1967-12-27,73247143388,Ul. Gowska 95,811284120
47,Mmek,Eska,1972-08-18,81099803280,Ul. Dowska 69,397558323
48,Smek,Rski,1978-04-13,44221421944,Ul. Mowska 97,658712144
49,Cmka,Kski,1951-12-17,81756207344,Ul. Qowska 44,743205894
50,Jmek,Gska,1971-03-01,41029660756,Ul. Qowa 94,383748891
51,Wmka,Gski,1991-04-15,53384241350,Ul. Sowa 42,933796372
52,Umka,Rska,1982-01-26,72949061831,Ul. Eowska 70,769775026
